City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cockburn town,21.4612,-71.1419,29.25,75,47,7.73,TC,1694499962
1,tulun,54.5611,100.5792,17.74,39,28,3.65,RU,1694500153
2,waitangi,-43.9535,-176.5597,11.01,87,52,8.49,NZ,1694500153
3,ushuaia,-54.8,-68.3,2.81,87,0,2.06,AR,1694500067
4,gadzhiyevo,69.2551,33.3362,14.6,86,100,10.56,RU,1694500154
5,port alfred,-33.5906,26.891,12.32,62,62,2.68,ZA,1694500154
6,yellowknife,62.456,-114.3525,16.34,84,100,4.12,CA,1694500155
7,taoudenni,22.6783,-3.9836,32.86,27,91,3.63,ML,1694500155
8,avarua,-21.2078,-159.775,21.03,60,96,5.14,CK,1694500156
9,labrador city,52.9463,-66.9114,3.95,100,100,0.0,CA,1694500156
10,pivijay,10.4617,-74.6162,25.66,93,81,1.87,CO,1694500156
11,saint-pierre,-21.3393,55.4781,26.21,69,75,1.54,RE,1694500157
12,kodinsk,58.6881,99.1844,16.56,38,19,0.78,RU,1694500157
13,west island,-12.1568,96.8225,27.99,74,84,7.72,CC,1694500158
14,wailua homesteads,22.0669,-159.378,26.24,79,20,7.72,US,1694500158
15,punta arenas,-53.15,-70.9167,3.06,93,100,2.06,CL,1694500159
16,alvear,-29.0968,-56.5504,18.73,89,92,8.85,AR,1694500160
17,rajshahi,24.3667,88.6,33.42,59,82,2.28,BD,1694500161
18,grytviken,-54.2811,-36.5092,-2.81,84,14,4.68,GS,1694500161
19,adamstown,-25.066,-130.1015,22.17,82,40,13.51,PN,1694500163
20,bereznik,62.8551,42.7072,13.56,71,19,2.94,RU,1694500163
21,sao vicente,-23.9631,-46.3919,25.71,26,0,1.75,BR,1694500125
22,brandon,27.9378,-82.2859,26.92,87,0,4.12,US,1694500164
23,kristiansund,63.1115,7.732,11.03,81,40,2.57,NO,1694500165
24,staromyshastovskaya,45.3433,39.0761,22.24,38,9,2.7,RU,1694500165
25,sitka,57.0531,-135.33,13.94,88,100,2.57,US,1694500166
26,khandyga,62.6667,135.6,8.37,63,68,1.65,RU,1694500166
27,invercargill,-46.4,168.35,6.68,78,82,8.05,NZ,1694500167
28,ilulissat,69.2167,-51.1,3.01,65,100,2.57,GL,1694500167
29,palmer,42.1584,-72.3287,20.78,86,100,0.0,US,1694500168
30,paramonga,-10.6667,-77.8333,18.19,86,55,4.57,PE,1694500168
31,blackmans bay,-43.0167,147.3167,13.62,79,89,1.67,AU,1694500168
32,port-aux-francais,-49.35,70.2167,3.92,95,100,9.58,TF,1694500169
33,papatowai,-46.5619,169.4708,5.72,81,65,9.04,NZ,1694500169
34,bilibino,68.0546,166.4372,7.49,72,86,3.11,RU,1694500170
35,tolanaro,-25.0319,46.9987,26.04,61,0,2.57,MG,1694500170
36,santa marta,11.2408,-74.199,29.38,76,69,5.36,CO,1694500121
37,port mathurin,-19.6833,63.4167,23.18,68,25,9.48,MU,1694500171
38,tharad,24.3961,71.6267,31.05,56,98,6.78,IN,1694500172
39,constantia,44.1833,28.65,21.5,61,4,0.7,RO,1694500173
40,porto novo,6.4965,2.6036,25.9,93,100,3.11,BJ,1694500173
41,albany,42.6001,-73.9662,17.99,91,13,1.23,US,1694500038
42,cabo san lucas,22.8909,-109.9124,29.31,84,8,1.34,MX,1694499915
43,guixi,28.2886,117.2133,32.43,58,99,0.43,CN,1694500174
44,rio grande,-32.035,-52.0986,19.41,95,100,4.34,BR,1694500175
45,vila do maio,15.1333,-23.2167,26.44,85,32,3.85,CV,1694500175
46,port elizabeth,-33.918,25.5701,10.61,81,75,4.12,ZA,1694499879
47,edinburgh of the seven seas,-37.0676,-12.3116,12.64,83,60,11.22,SH,1694500176
48,iqaluit,63.7506,-68.5145,2.85,81,75,2.06,CA,1694500170
49,pangai,-19.8,-174.35,24.06,83,20,8.75,TO,1694500176
50,benxi,41.2886,123.765,24.18,38,3,2.92,CN,1694500177
51,puerto natales,-51.7236,-72.4875,1.45,95,94,2.31,CL,1694500177
52,talnakh,69.4865,88.3972,10.67,71,92,7.03,RU,1694500178
53,vuktyl,63.8567,57.3094,14.33,63,10,1.06,RU,1694500178
54,enriquillo,17.9,-71.2333,26.18,87,80,1.67,DO,1694500178
55,goundam,16.4145,-3.6708,33.02,34,1,3.71,ML,1694500179
56,thompson,55.7435,-97.8558,9.09,76,20,4.12,CA,1694500179
57,hamilton,39.1834,-84.5333,19.98,87,0,0.89,US,1694499941
58,jamestown,42.097,-79.2353,16.51,98,0,2.06,US,1694500074
59,bredasdorp,-34.5322,20.0403,8.22,66,25,2.45,ZA,1694500180
60,praia da vitoria,38.7333,-27.0667,20.98,88,20,3.15,PT,1694500181
61,inarajan village,13.2736,144.7484,29.08,90,100,5.16,GU,1694500181
62,kismayo,-0.3582,42.5454,27.26,72,19,4.9,SO,1694500182
63,kingston,17.997,-76.7936,27.53,83,20,1.03,JM,1694500105
64,revda,56.801,59.9303,14.4,63,57,5.01,RU,1694500183
65,afaahiti,-17.75,-149.2833,21.93,90,98,10.67,PF,1694500183
66,taroa,8.7058,171.2275,28.93,76,99,6.67,MH,1694500183
67,yuzhno-kurilsk,44.0306,145.8556,20.85,93,99,6.9,RU,1694500184
68,igarka,67.4667,86.5833,12.97,72,96,7.22,RU,1694500184
69,mityana,0.4175,32.0228,20.62,83,78,0.76,UG,1694500185
70,mukalla,14.5425,49.1242,33.5,52,54,1.89,YE,1694500185
71,selfoss,63.9331,-20.9971,2.55,67,12,0.85,IS,1694500186
72,villa gesell,-37.2639,-56.973,6.7,78,0,8.04,AR,1694500186
73,egilsstadir,65.2653,-14.3948,-0.05,74,0,2.06,IS,1694500187
74,ndele,8.4109,20.6473,22.86,94,12,1.2,CF,1694500187
75,puerto baquerizo moreno,-0.9,-89.6,22.88,75,34,4.51,EC,1694500187
76,baruun-urt,46.6806,113.2792,18.77,20,0,5.7,MN,1694500188
